ConversationIDDataImpl,SpeakerDataImpl,StartTimeDataImpl,EndTimeDataImpl,PlainTextDataImpl,LowercaseDialoguePreProcessorImpl,SplitJointWordsPreProcessorImpl.PlainTextDialoguePreProcessorImpl,SplitJointWordsPreProcessorImpl,ExpandContractionsDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,ExpandContractionsDialoguePreProcessorImpl,RemoveNumericCharactersDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,RemoveNumericCharactersDialoguePreProcessorImpl,RemoveEmailsDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,RemoveEmailsDialoguePreProcessorImpl,RemovePunctuationDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,RemovePunctuationDialoguePreProcessorImpl,SpellCheckerDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,SpellCheckerDialoguePreProcessorImpl,RemoveStopWordsDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,RemoveStopWordsDialoguePreProcessorImpl,PorterStemmerDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,PorterStemmerDialoguePreProcessorImpl,PorterStemmerDialoguePreProcessorImpl.SpellCheckerDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,PorterStemmerDialoguePreProcessorImpl.SpellCheckerDialoguePreProcessorImpl,WordNetLemmatizerDialoguePreProcessorImpl.SpellCheckerDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,WordNetLemmatizerDialoguePreProcessorImpl.SpellCheckerDialoguePreProcessorImpl,WordNetLemmatizerDialoguePreProcessorImpl.RemoveStopWordsDialoguePreProcessorImpl.PlainTextDialoguePreProcessorImpl,WordNetLemmatizerDialoguePreProcessorImpl.RemoveStopWordsDialoguePreProcessorImpl
3,1,113,121,'s take moment or so here to pull details.                                                                                                                                                                                                                                                                                           ,'s take moment or so here to pull details.                                                                                                                                                                                                                                                                                           ,'s take moment or so here to pull details.                                                                                                                                                                                                                                                                                           ,'s take moment or so here to pull details.                                                                                                                                                                                                                                                                                           ,'s take moment or so here to pull details.                                                                                                                                                                                                                                                                                           ,'s take moment or so here to pull details.                                                                                                                                                                                                                                                                                           ,'s take moment or so here to pull details.                                                                                                                                                                                                                                                                                           ,'s take moment or so here to pull details.                                                                                                                                                                                                                                                                                           ,'s take moment or so here to pull details.                                                                                                                                                                                                                                                                                           ,'s take moment or so here to pull details.                                                                                                                                                                                                                                                                                           ,s take moment or so here to pull details                                                                                                                                                                                                                                                                                           ,s take moment or so here to pull details                                                                                                                                                                                                                                                                                           ,s take moment or so here to pull details ,s take moment or so here to pull details ,take moment pull details  ,take moment pull details  ,take moment pull detail ,take moment pull detail ,s take moment or so here to pull detail ,s take moment or so here to pull detail ,s take moment or so here to pull detail ,s take moment or so here to pull detail ,take moment pull detail ,take moment pull detail 
3,1,122,129,Alright.                                                                                                                                                                                                                                                                                                                             ,alright.                                                                                                                                                                                                                                                                                                                             ,Alright.                                                                                                                                                                                                                                                                                                                             ,alright.                                                                                                                                                                                                                                                                                                                             ,Alright.                                                                                                                                                                                                                                                                                                                             ,alright.                                                                                                                                                                                                                                                                                                                             ,Alright.                                                                                                                                                                                                                                                                                                                             ,alright.                                                                                                                                                                                                                                                                                                                             ,Alright.                                                                                                                                                                                                                                                                                                                             ,alright.                                                                                                                                                                                                                                                                                                                             ,Alright                                                                                                                                                                                                                                                                                                                             ,alright                                                                                                                                                                                                                                                                                                                             ,Alright ,alright ,Alright  ,alright  ,alright ,alright ,alright ,alright ,Alright ,alright ,Alright ,alright 
3,1,138,143,And can I get your name please.                                                                                                                                                                                                                                                                                                      ,and can i get your name please.                                                                                                                                                                                                                                                                                                      ,And can I get your name please.                                                                                                                                                                                                                                                                                                      ,and can i get your name please.                                                                                                                                                                                                                                                                                                      ,And can I get your name please.                                                                                                                                                                                                                                                                                                      ,and can i get your name please.                                                                                                                                                                                                                                                                                                      ,And can I get your name please.                                                                                                                                                                                                                                                                                                      ,and can i get your name please.                                                                                                                                                                                                                                                                                                      ,And can I get your name please.                                                                                                                                                                                                                                                                                                      ,and can i get your name please.                                                                                                                                                                                                                                                                                                      ,And can I get your name please                                                                                                                                                                                                                                                                                                      ,and can i get your name please                                                                                                                                                                                                                                                                                                      ,And can I get your name please ,and can i get your name please ,And I get name please  ,get name please  ,and I get name pleas ,get name pleas ,and can I get your name pleas ,and can i get your name pleas ,And can I get your name please ,and can i get your name please ,And I get name please ,get name please 
3,2,152,153,Linda Johnson.                                                                                                                                                                                                                                                                                                                       ,linda johnson.                                                                                                                                                                                                                                                                                                                       ,Linda Johnson.                                                                                                                                                                                                                                                                                                                       ,linda johnson.                                                                                                                                                                                                                                                                                                                       ,Linda Johnson.                                                                                                                                                                                                                                                                                                                       ,linda johnson.                                                                                                                                                                                                                                                                                                                       ,Linda Johnson.                                                                                                                                                                                                                                                                                                                       ,linda johnson.                                                                                                                                                                                                                                                                                                                       ,Linda Johnson.                                                                                                                                                                                                                                                                                                                       ,linda johnson.                                                                                                                                                                                                                                                                                                                       ,Linda Johnson                                                                                                                                                                                                                                                                                                                       ,linda johnson                                                                                                                                                                                                                                                                                                                       ,Linda Johnson ,linda johnson ,Linda Johnson  ,linda johnson  ,linda johnson ,linda johnson ,linda johnson ,linda johnson ,Linda Johnson ,linda johnson ,Linda Johnson ,linda johnson 
3,1,157,165,thank you miss johnson can I also have your access code please                                                                                                                                                                                                                                                                       ,thank you miss johnson can i also have your access code please                                                                                                                                                                                                                                                                       ,thank you miss johnson can I also have your access code please                                                                                                                                                                                                                                                                       ,thank you miss johnson can i also have your access code please                                                                                                                                                                                                                                                                       ,thank you miss johnson can I also have your access code please                                                                                                                                                                                                                                                                       ,thank you miss johnson can i also have your access code please                                                                                                                                                                                                                                                                       ,thank you miss johnson can I also have your access code please                                                                                                                                                                                                                                                                       ,thank you miss johnson can i also have your access code please                                                                                                                                                                                                                                                                       ,thank you miss johnson can I also have your access code please                                                                                                                                                                                                                                                                       ,thank you miss johnson can i also have your access code please                                                                                                                                                                                                                                                                       ,thank you miss johnson can I also have your access code please                                                                                                                                                                                                                                                                       ,thank you miss johnson can i also have your access code please                                                                                                                                                                                                                                                                       ,thank you miss johnson can I also have your access code please ,thank you miss johnson can i also have your access code please ,thank miss johnson I also access code please  ,thank miss johnson also access code please  ,thank miss johnson I also access code pleas ,thank miss johnson also access code pleas ,thank you miss johnson can I also have your access code pleas ,thank you miss johnson can i also have your access code pleas ,thank you miss johnson can I also have your access code please ,thank you miss johnson can i also have your access code please ,thank miss johnson I also access code please ,thank miss johnson also access code please 
3,2,168,178,Do I Tell you.                                                                                                                                                                                                                                                                                                                       ,do i tell you.                                                                                                                                                                                                                                                                                                                       ,Do I Tell you.                                                                                                                                                                                                                                                                                                                       ,do i tell you.                                                                                                                                                                                                                                                                                                                       ,Do I Tell you.                                                                                                                                                                                                                                                                                                                       ,do i tell you.                                                                                                                                                                                                                                                                                                                       ,Do I Tell you.                                                                                                                                                                                                                                                                                                                       ,do i tell you.                                                                                                                                                                                                                                                                                                                       ,Do I Tell you.                                                                                                                                                                                                                                                                                                                       ,do i tell you.                                                                                                                                                                                                                                                                                                                       ,Do I Tell you                                                                                                                                                                                                                                                                                                                       ,do i tell you                                                                                                                                                                                                                                                                                                                       ,Do I Tell you ,do i tell you ,Do I Tell  ,tell  ,Do I tell ,tell ,Do I tell you ,do i tell you ,Do I Tell you ,do i tell you ,Do I Tell ,tell 
3,1,181,182,Yes please                                                                                                                                                                                                                                                                                                                           ,yes please                                                                                                                                                                                                                                                                                                                           ,Yes please                                                                                                                                                                                                                                                                                                                           ,yes please                                                                                                                                                                                                                                                                                                                           ,Yes please                                                                                                                                                                                                                                                                                                                           ,yes please                                                                                                                                                                                                                                                                                                                           ,Yes please                                                                                                                                                                                                                                                                                                                           ,yes please                                                                                                                                                                                                                                                                                                                           ,Yes please                                                                                                                                                                                                                                                                                                                           ,yes please                                                                                                                                                                                                                                                                                                                           ,Yes please                                                                                                                                                                                                                                                                                                                           ,yes please                                                                                                                                                                                                                                                                                                                           ,Yes please ,yes please ,Yes please  ,yes please  ,ye pleas ,ye pleas ,ye pleas ,ye pleas ,Yes please ,yes please ,Yes please ,yes please 
3,2,190,195,or you 310877.                                                                                                                                                                                                                                                                                                                       ,or you 310877.                                                                                                                                                                                                                                                                                                                       ,or you 310877.                                                                                                                                                                                                                                                                                                                       ,or you 310877.                                                                                                                                                                                                                                                                                                                       ,or you 310877.                                                                                                                                                                                                                                                                                                                       ,or you 310877.                                                                                                                                                                                                                                                                                                                       ,or you # .                                                                                                                                                                                                                                                                                                                       ,or you # .                                                                                                                                                                                                                                                                                                                       ,or you # .                                                                                                                                                                                                                                                                                                                       ,or you # .                                                                                                                                                                                                                                                                                                                       ,or you                                                                                                                                                                                                                                                                                                                         ,or you                                                                                                                                                                                                                                                                                                                         ,or you ,or you , , , , ,or you ,or you ,or you ,or you , , 
3,1,199,202,Perfect.                                                                                                                                                                                                                                                                                                                             ,perfect.                                                                                                                                                                                                                                                                                                                             ,Perfect.                                                                                                                                                                                                                                                                                                                             ,perfect.                                                                                                                                                                                                                                                                                                                             ,Perfect.                                                                                                                                                                                                                                                                                                                             ,perfect.                                                                                                                                                                                                                                                                                                                             ,Perfect.                                                                                                                                                                                                                                                                                                                             ,perfect.                                                                                                                                                                                                                                                                                                                             ,Perfect.                                                                                                                                                                                                                                                                                                                             ,perfect.                                                                                                                                                                                                                                                                                                                             ,Perfect                                                                                                                                                                                                                                                                                                                             ,perfect                                                                                                                                                                                                                                                                                                                             ,Perfect ,perfect ,Perfect  ,perfect  ,perfect ,perfect ,perfect ,perfect ,Perfect ,perfect ,Perfect ,perfect 
3,1,209,217,So I can I help you today.                                                                                                                                                                                                                                                                                                           ,so i can i help you today.                                                                                                                                                                                                                                                                                                           ,So I can I help you today.                                                                                                                                                                                                                                                                                                           ,so i can i help you today.                                                                                                                                                                                                                                                                                                           ,So I can I help you today.                                                                                                                                                                                                                                                                                                           ,so i can i help you today.                                                                                                                                                                                                                                                                                                           ,So I can I help you today.                                                                                                                                                                                                                                                                                                           ,so i can i help you today.                                                                                                                                                                                                                                                                                                           ,So I can I help you today.                                                                                                                                                                                                                                                                                                           ,so i can i help you today.                                                                                                                                                                                                                                                                                                           ,So I can I help you today                                                                                                                                                                                                                                                                                                           ,so i can i help you today                                                                                                                                                                                                                                                                                                           ,So I can I help you today ,so i can i help you today ,So I I help today  ,help today  ,So I I help today ,help today ,So I can I help you today ,so i can i help you today ,So I can I help you today ,so i can i help you today ,So I I help today ,help today 
3,2,221,222,I put $800 on my line rather is that the other day as it comes through                                                                                                                                                                                                                                                               ,i put $800 on my line rather is that the other day as it comes through                                                                                                                                                                                                                                                               ,I put $800 on my line rather is that the other day as it comes through                                                                                                                                                                                                                                                               ,i put $800 on my line rather is that the other day as it comes through                                                                                                                                                                                                                                                               ,I put $800 on my line rather is that the other day as it comes through                                                                                                                                                                                                                                                               ,i put $800 on my line rather is that the other day as it comes through                                                                                                                                                                                                                                                               ,I put $#  on my line rather is that the other day as it comes through                                                                                                                                                                                                                                                               ,i put $#  on my line rather is that the other day as it comes through                                                                                                                                                                                                                                                               ,I put $#  on my line rather is that the other day as it comes through                                                                                                                                                                                                                                                               ,i put $#  on my line rather is that the other day as it comes through                                                                                                                                                                                                                                                               ,I put   on my line rather is that the other day as it comes through                                                                                                                                                                                                                                                               ,i put   on my line rather is that the other day as it comes through                                                                                                                                                                                                                                                               ,I put on my line rather is that the other day as it comes through ,i put on my line rather is that the other day as it comes through ,I put line rather day comes  ,put line rather day comes  ,I put line rather day come ,put line rather day come ,I put on my line rather is that the other day as it come through ,i put on my line rather is that the other day as it come through ,I put on my line rather be that the other day as it come through ,i put on my line rather be that the other day as it come through ,I put line rather day come ,put line rather day come 
